Campaign Name,Ad Group Name,Ad Name,Final URL,Headline 1,Headline 2,Description 1,Description 2,Call to Action,Video Script,Status
4H_2026_YouTube_pipe,pipe_video,YT-P3,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_transformation&utm_content=YT-P3&utm_term=owners_1-10,Why plumbers with 3 employees ,AI answers your trade calls,[0-8s: HOOK] There are two kinds of plumbing businesses. Ones that answer every call. And ,$79/mo. No contracts. See it live.,Start free at pipe.city,"[0-8s: HOOK] There are two kinds of plumbing businesses. Ones that answer every call. And ones that wonder why they're always chasing work.

[8-25s: PAIN] You know the math. Emergency call. Burst pipe. Sunday afternoon. Customer dials four plumbers. First to answer wins a $1,500 job. You're the fourth. You were finishing a water heater rough-in. Your phone was in your truck.

[25-45s: TRANSFORMATION] Pipe.City is your AI employee. It answers 24/7. It knows plumbing — supply lines, drain-waste-vent, PRV replacement, emergency shutoff procedures. It asks the right questions, books the job, and texts you the details. You focus on the work.

[45-60s: CTA] You don't need more people on the payroll. You need one that never sleeps. $79/mo. Start free today at pipe.city. Your AI employee for plumbing.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,YT-RT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget_youre-close&utm_content=rtc05_yt_video15&utm_term=owners_1-10,You’re close,AI answers your trade calls,You already checked out Saw.City. Finish setup now and turn missed calls into booked jobs—,$79/mo. No contracts. See it live.,Finish setup now,You already checked out Saw.City. Finish setup now and turn missed calls into booked jobs—without a demo call. Go live today.,ACTIVE
4H_2026_YouTube_pipe,pipe_video,YT-P4,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_brand&utm_content=YT-P4&utm_term=owners_1-10,Pipe.City — Never miss a plumb,AI answers your trade calls,Pipe rings. Pipe.City answers. You get the job. pipe.city,$79/mo. No contracts. See it live.,pipe.city,Pipe rings. Pipe.City answers. You get the job. pipe.city,ACTIVE
4H_2026_YouTube_pipe,pipe_video,YT-P5,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_search-intent&utm_content=YT-P5&utm_term=owners_1-10,Plumbing answering service | $,AI answers your trade calls,"Pipe.City is the AI answering employee built for plumbers. Answers calls 24/7, schedules e",$79/mo. No contracts. See it live.,Start free at pipe.city,"Pipe.City is the AI answering employee built for plumbers. Answers calls 24/7, schedules emergency dispatches, captures leads, and books jobs while you're on-site.

No call center. No per-minute billing. $79/mo flat.

Built for owner-operators with 1-10 employees. Setup in 20 minutes. Start free.",ACTIVE
4H_2026_YouTube_pipe,pipe_video,YT-P6,https://pipe.city/pipe?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-visit&utm_content=YT-P6&utm_term=owners_1-10,You checked out Pipe.City. You,AI answers your trade calls,"[0-4s] You looked at Pipe.City. Smart move.
[4-11s] While you're still thinking, a plumber",$79/mo. No contracts. See it live.,Start free at pipe.city,"[0-4s] You looked at Pipe.City. Smart move.
[4-11s] While you're still thinking, a plumber in your market just started answering every call you're missing.
[11-15s] Start free today — pipe.city",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-R5,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_underserved-market&utm_content=rinse_ytc07_hk13_video30&utm_term=owners_1-10,Underserved Market Narrative,AI answers your trade calls,Most small trade companies don't lose work because they're bad at their trade. They lose w,$79/mo. No contracts. See it live.,Start now,"Most small trade companies don't lose work because they're bad at their trade. They lose work in the gap between the first call and the first response. Rinse.City helps close that gap: capture inbound calls, route cleanly, and follow up faster. No enterprise complexity. Just practical flow for 1–10 person operators.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-R4C,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_speed-to-lead&utm_content=rinse_ytc06_hk12_video15&utm_term=owners_1-10,Speed-to-Lead,AI answers your trade calls,The first response usually wins the job. Rinse.City helps you respond faster and close mor,$79/mo. No contracts. See it live.,Hear it live,The first response usually wins the job. Rinse.City helps you respond faster and close more of the demand you already have.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-R4B,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_first-system&utm_content=rinse_ytc05_hk11_video15&utm_term=owners_1-10,First-System Positioning,AI answers your trade calls,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simpl",$79/mo. No contracts. See it live.,Go live today,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simple system that captures calls and keeps jobs moving.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-R4A,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_revenue-protection&utm_content=rinse_ytc04_hk10_video15&utm_term=owners_1-10,Revenue Protection,AI answers your trade calls,Missed calls become missed jobs. Rinse.City helps small trade operators capture more inbou,$79/mo. No contracts. See it live.,Start now,Missed calls become missed jobs. Rinse.City helps small trade operators capture more inbound opportunities and convert faster—without adding office payroll.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-03,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_voicemail-loss&utm_content=rinse_ytc03_hk09_video15&utm_term=owners_1-10,Fast Hook,AI answers your trade calls,Still losing jobs to voicemail? Rinse.City helps field teams capture more opportunities wi,$79/mo. No contracts. See it live.,Hear it live,Still losing jobs to voicemail? Rinse.City helps field teams capture more opportunities without adding office overhead.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_jobsite-reality&utm_content=rinse_ytc02_hk08_video30&utm_term=owners_1-10,Jobsite Reality,AI answers your trade calls,You’re on the job. Phone rings. You miss it. Job gone. Rinse.City is built for that exact ,$79/mo. No contracts. See it live.,Go live today,You’re on the job. Phone rings. You miss it. Job gone. Rinse.City is built for that exact reality. Set it up fast. Test it today. Keep your pipeline moving.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_missed-call-tax&utm_content=rinse_ytc01_hk07_video30&utm_term=owners_1-10,Missed Call Tax,AI answers your trade calls,Every missed call is a hidden tax on your business. Rinse.City helps you capture those cal,$79/mo. No contracts. See it live.,Start now,"Every missed call is a hidden tax on your business. Rinse.City helps you capture those calls, route them faster, and turn chaos into booked work. No long setup. No sales call. Start now and hear it live.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-RT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_retarget_self-serve-activation&utm_content=mow_rtc06_yt_video30&utm_term=owners_1-10,Self-serve activation,AI answers your trade calls,"If you run a small trade operation, speed matters. You already started with Mow.City—now c",$79/mo. No contracts. See it live.,Go live today,"If you run a small trade operation, speed matters. You already started with Mow.City—now complete setup and route your calls with a real system. No demo scheduling. No enterprise bloat. Just self-serve setup and first handled call.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-RT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_retarget_youre-close&utm_content=mow_rtc05_yt_video15&utm_term=owners_1-10,You’re close,AI answers your trade calls,You already checked out Mow.City. Finish setup now and turn missed calls into booked jobs—,$79/mo. No contracts. See it live.,Finish setup now,You already checked out Mow.City. Finish setup now and turn missed calls into booked jobs—without a demo call. Go live today.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-R5,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_underserved-market&utm_content=mow_ytc07_hk13_video30&utm_term=owners_1-10,Underserved Market Narrative,AI answers your trade calls,Most small trade companies don't lose work because they're bad at their trade. They lose w,$79/mo. No contracts. See it live.,Start now,"Most small trade companies don't lose work because they're bad at their trade. They lose work in the gap between the first call and the first response. Mow.City helps close that gap: capture inbound calls, route cleanly, and follow up faster. No enterprise complexity. Just practical flow for 1–10 person operators.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-R4C,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_speed-to-lead&utm_content=mow_ytc06_hk12_video15&utm_term=owners_1-10,Speed-to-Lead,AI answers your trade calls,The first response usually wins the job. Mow.City helps you respond faster and close more ,$79/mo. No contracts. See it live.,Hear it live,The first response usually wins the job. Mow.City helps you respond faster and close more of the demand you already have.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-R4B,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_first-system&utm_content=mow_ytc05_hk11_video15&utm_term=owners_1-10,First-System Positioning,AI answers your trade calls,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simpl",$79/mo. No contracts. See it live.,Go live today,"If you're a 1–10 person trade shop, you don't need enterprise software. You need one simple system that captures calls and keeps jobs moving.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-R4A,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_revenue-protection&utm_content=mow_ytc04_hk10_video15&utm_term=owners_1-10,Revenue Protection,AI answers your trade calls,Missed calls become missed jobs. Mow.City helps small trade operators capture more inbound,$79/mo. No contracts. See it live.,Start now,Missed calls become missed jobs. Mow.City helps small trade operators capture more inbound opportunities and convert faster—without adding office payroll.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-03,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_voicemail-loss&utm_content=mow_ytc03_hk09_video15&utm_term=owners_1-10,Fast Hook,AI answers your trade calls,Still losing jobs to voicemail? Mow.City helps field teams capture more opportunities with,$79/mo. No contracts. See it live.,Hear it live,Still losing jobs to voicemail? Mow.City helps field teams capture more opportunities without adding office overhead.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_jobsite-reality&utm_content=mow_ytc02_hk08_video30&utm_term=owners_1-10,Jobsite Reality,AI answers your trade calls,You’re on the job. Phone rings. You miss it. Job gone. Mow.City is built for that exact re,$79/mo. No contracts. See it live.,Go live today,You’re on the job. Phone rings. You miss it. Job gone. Mow.City is built for that exact reality. Set it up fast. Test it today. Keep your pipeline moving.,ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,MOW-YT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_missed-call-tax&utm_content=mow_ytc01_hk07_video30&utm_term=owners_1-10,Missed Call Tax,AI answers your trade calls,Every missed call is a hidden tax on your business. Mow.City helps you capture those calls,$79/mo. No contracts. See it live.,Start now,"Every missed call is a hidden tax on your business. Mow.City helps you capture those calls, route them faster, and turn chaos into booked work. No long setup. No sales call. Start now and hear it live.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-RT-02,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_retarget_self-serve-activation&utm_content=rinse_rtc06_yt_video30&utm_term=owners_1-10,Self-serve activation,AI answers your trade calls,"If you run a small trade operation, speed matters. You already started with Rinse.City—now",$79/mo. No contracts. See it live.,Go live today,"If you run a small trade operation, speed matters. You already started with Rinse.City—now complete setup and route your calls with a real system. No demo scheduling. No enterprise bloat. Just self-serve setup and first handled call.",ACTIVE
4H_2026_YouTube_sawcity,sawcity_video,RINSE-YT-RT-01,https://saw.city/yt?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_retarget_youre-close&utm_content=rinse_rtc05_yt_video15&utm_term=owners_1-10,You’re close,AI answers your trade calls,You already checked out Rinse.City. Finish setup now and turn missed calls into booked job,$79/mo. No contracts. See it live.,Finish setup now,You already checked out Rinse.City. Finish setup now and turn missed calls into booked jobs—without a demo call. Go live today.,ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C1,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_missed-calls&utm_content=YT-C1&utm_term=owners_1-10,You're mid-cut on a ceiling. P,AI answers your trade calls,"[0-3s: HOOK] You're cutting in a ceiling. Phone buzzes.
[3-8s: PROBLEM] Customer wanted a ",$79/mo. No contracts. See it live.,Start free at coat.city,"[0-3s: HOOK] You're cutting in a ceiling. Phone buzzes.
[3-8s: PROBLEM] Customer wanted a quote. Called two other painters. One picked up.
[8-13s: SOLUTION] Coat.City answers every call while you work. Books the estimate. Keeps your calendar full.
[13-15s: CTA] Start free at coat.city.",ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C2,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_story&utm_content=YT-C2&utm_term=owners_1-10,Spring surge is the busiest se,AI answers your trade calls,[0-5s: HOOK] April through July — every painter is booked solid. Jobs lined up. But the ca,$79/mo. No contracts. See it live.,Start free at coat.city,"[0-5s: HOOK] April through July — every painter is booked solid. Jobs lined up. But the calls never stop.
[5-15s: PROBLEM] You can't answer mid-roller. Customer wants an exterior quote. They call three painters. First to respond wins a $3,500 job.
[15-25s: SOLUTION] Coat.City is your AI employee for painting. Answers every call. Books estimates. Handles color questions. Works while you're on the brush.
[25-30s: CTA] $79/mo. Start free at coat.city.",ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C3,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_transformation&utm_content=YT-C3&utm_term=owners_1-10,The painters who grow aren't b,AI answers your trade calls,[0-8s: HOOK] Why do some painters have a 6-week wait list while others are scrambling for ,$79/mo. No contracts. See it live.,Start free at coat.city,"[0-8s: HOOK] Why do some painters have a 6-week wait list while others are scrambling for work? It's not skill. It's not price. It's who answers the phone.

[8-25s: PAIN] You're mid-coat on a 3,000 sq ft exterior. Phone rings. You can't stop — you're on a wet edge. Customer wants a quote by end of day. They call the next painter. He answered on the second ring. He's booked a $4,200 job while you were finishing your current one.

[25-45s: TRANSFORMATION] Coat.City is your AI employee for painting. It answers 24/7 in painter language — cut in, primer coat, sheen levels, VOC questions, interior vs exterior prep. It books estimates, captures leads, and sends you a summary of every call.

[45-60s: CTA] You're already the best painter on the job. Now be the one who always picks up. $79/mo. Start free today at coat.city. Your AI employee for painting.",ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C4,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_brand&utm_content=YT-C4&utm_term=owners_1-10,Coat.City — Never miss a paint,AI answers your trade calls,Brush down. Coat.City picks up. You get the job. coat.city,$79/mo. No contracts. See it live.,coat.city,Brush down. Coat.City picks up. You get the job. coat.city,ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C5,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_search-intent&utm_content=YT-C5&utm_term=owners_1-10,Painting contractor answering ,AI answers your trade calls,"Coat.City is the AI answering employee built for painting contractors. Answers calls 24/7,",$79/mo. No contracts. See it live.,Start free at coat.city,"Coat.City is the AI answering employee built for painting contractors. Answers calls 24/7, books estimate appointments, captures leads, and handles color/product questions while you're on the job.

No call center fees. No per-minute billing. $79/mo flat.

Built for solo painters and small crews. Setup in 20 minutes. Start free.",ACTIVE
4H_2026_YouTube_electricians,electricians_video,YT-E1,https://electricians.city/electricians?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_electricians_midnight-call&utm_content=yte01_hk01_video&utm_term=owners_1-10,Midnight outage call. Did you ,AI answers your trade calls,[HOOK] It's midnight. A homeowner just lost power. They're calling every electrician on Go,$79/mo. No contracts. See it live.,See it live,"[HOOK] It's midnight. A homeowner just lost power. They're calling every electrician on Google. [PROBLEM] Your phone rings. You don't answer — you're asleep. Your competitor's AI picks up on the first ring. [SOLUTION] Saw.City is an AI phone agent that answers 24/7, captures the lead, and texts you instantly. [CTA] $79/mo. See it at electricians.city.",ACTIVE
4H_2026_YouTube_electricians,electricians_video,YT-E2,https://electricians.city/electricians?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_electricians_panel-value&utm_content=yte02_hk02_video&utm_term=owners_1-10,"A missed call costs you $5,000",AI answers your trade calls,"[HOOK] What's a panel upgrade worth to you? $3,000? $5,000? [PROBLEM] You lose one every t",$79/mo. No contracts. See it live.,Start free,"[HOOK] What's a panel upgrade worth to you? $3,000? $5,000? [PROBLEM] You lose one every time your phone goes to voicemail. [DEMO] Here's what Saw.City sounds like when it answers: professional, instant, captures every detail. [CTA] $79/mo. Start free at electricians.city.",ACTIVE
4H_2026_YouTube_electricians,electricians_video,YT-E3,https://electricians.city/electricians?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_electricians_4-leads&utm_content=yte03_hk03_video&utm_term=owners_1-10,4 leads by Monday morning.,AI answers your trade calls,[HOOK] Electrical contractors are losing 30% of inbound leads to voicemail. [STORY] One co,$79/mo. No contracts. See it live.,Hear it,[HOOK] Electrical contractors are losing 30% of inbound leads to voicemail. [STORY] One contractor in Phoenix set up Saw.City on a Friday. By Monday he had 4 new service call leads waiting in his texts. [CTA] $79/mo. No contracts. See how at electricians.city.,ACTIVE
4H_2026_YouTube_coat,coat_video,YT-C7,https://coat.city/coat?utm_source=youtube&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-proof&utm_content=YT-C7&utm_term=owners_1-10,Still losing painting leads? H,AI answers your trade calls,"[0-5s] Every missed call during peak season is a job that's probably not coming back.
[5-2",$79/mo. No contracts. See it live.,Start free at coat.city,"[0-5s] Every missed call during peak season is a job that's probably not coming back.
[5-20s] Coat.City answers before the second ring. Books the estimate. Asks about scope — interior, exterior, how many rooms, sheen preference. Sends you a lead summary by text.
[20-27s] Painting contractors using Coat.City book 5+ extra estimate appointments per month. That's thousands in added revenue.
[27-30s] Start free today — coat.city",ACTIVE
4H_2026_YouTube_electricians,electricians_video,YT-E4,https://electricians.city/electricians?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_electricians_lights-out&utm_content=yte04_hk04_video&utm_term=owners_1-10,Lights out. You answer. You wi,AI answers your trade calls,"[HOOK] When the lights go out, homeowners call fast. [PROBLEM] The electrician who answers",$79/mo. No contracts. See it live.,Get it now,"[HOOK] When the lights go out, homeowners call fast. [PROBLEM] The electrician who answers first gets the job — and the 5-star review. [SOLUTION] Saw.City answers every call, even when your hands are in a panel. [CTA] $79/mo. Try it free — electricians.city.",ACTIVE
4H_2026_YouTube_electricians,electricians_video,YT-E5,https://electricians.city/electricians?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_electricians_vs-receptionist&utm_content=yte05_hk05_video&utm_term=owners_1-10,Receptionist for $79/mo.,AI answers your trade calls,"[HOOK] Hiring a receptionist costs $35,000/year. An answering service costs $300/mo. Saw.C",$79/mo. No contracts. See it live.,Start now,"[HOOK] Hiring a receptionist costs $35,000/year. An answering service costs $300/mo. Saw.City costs $79/mo. [DEMO] It answers every call, handles the intake, texts you the lead. [CTA] Built for electricians. Start free at electricians.city.",ACTIVE
4H_2026_YouTube_disaster,disaster_video,YT-D2,https://disaster.city/disaster?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_disaster_video-window&utm_content=ytd02_hk02_video&utm_term=owners_1-10,Mitigation window closing. Eve,AI answers your trade calls,"[HOOK] The mitigation window is closing. [URGENCY] In water damage, every hour matters. Mo",$79/mo. No contracts. See it live.,Start free,"[HOOK] The mitigation window is closing. [URGENCY] In water damage, every hour matters. Mold starts in 24-48 hours. The contractor who responds first controls the outcome. [SOLUTION] Saw.City answers your phone 24/7, captures the emergency details, and texts you immediately. [CTA] $79/mo. disaster.city.",ACTIVE
4H_2026_YouTube_disaster,disaster_video,YT-D3,https://disaster.city/disaster?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_disaster_video-race&utm_content=ytd03_hk03_video&utm_term=owners_1-10,Restoration is a race. Win it.,AI answers your trade calls,"[HOOK] Insurance-driven restoration is a race. [PROBLEM] TPA calls, adjuster referrals, an",$79/mo. No contracts. See it live.,Hear it,"[HOOK] Insurance-driven restoration is a race. [PROBLEM] TPA calls, adjuster referrals, and direct homeowner emergencies — they all come at weird hours. [SOLUTION] Saw.City handles every call. Professional intake, instant lead text, 24/7. [CTA] $79/mo. disaster.city — see it live.",ACTIVE
4H_2026_YouTube_disaster,disaster_video,YT-D4,https://disaster.city/disaster?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_disaster_video-math&utm_content=ytd04_hk04_video&utm_term=owners_1-10,Do the math. $79/mo vs. $40K l,AI answers your trade calls,"[HOOK] What's a flood mitigation job worth? $15,000? $40,000? [REALITY] You lose one every",$79/mo. No contracts. See it live.,Get it now,"[HOOK] What's a flood mitigation job worth? $15,000? $40,000? [REALITY] You lose one every time your phone goes to voicemail at 3am. [MATH] Saw.City costs $79/mo. One extra job per quarter is tens of thousands in revenue. [CTA] disaster.city.",ACTIVE
4H_2026_YouTube_disaster,disaster_video,YT-D5,https://disaster.city/disaster?utm_source=youtube&utm_medium=paid-video&utm_campaign=4h_2026-03_disaster_video-night-calls&utm_content=ytd05_hk05_video&utm_term=owners_1-10,Night calls = your biggest job,AI answers your trade calls,[HOOK] Fire damage calls come in the middle of the night. So do flood emergencies. So do s,$79/mo. No contracts. See it live.,Start now,[HOOK] Fire damage calls come in the middle of the night. So do flood emergencies. So do storm aftermath jobs. [INSIGHT] Restoration contractors who answer those calls don't just win the job — they win the entire claim lifecycle. [SOLUTION] Saw.City answers 24/7. $79/mo. [CTA] disaster.city.,ACTIVE
