Campaign Name,Ad Name,Headline,Introductory Text,Destination URL,Image URL,Call to Action,Status
4H_2026_electricians_retarget,LI-E4,Electricians near you are already using it.,"You checked it out. Here's what electrical contractors are saying: 'I booked three panel upgrades in the first week.' Saw.City answers every call, collects the details, and texts you the lead. $79/mo.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_retarget-social-proof&utm_content=lie04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Start now,ACTIVE
4H_2026_electricians_retarget,LI-E5,One job pays for the whole year.,Still thinking about it? Every day without it is another emergency outage call that went to someone who picked up. Setup takes 10 minutes. Price is $79/mo. The first job it books pays for itself.,https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_retarget-roi&utm_content=lie05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Get it now,ACTIVE
4H_2026_electricians_retarget,LI-E6,Wake up to booked service calls.,"Contractors like you are already booking service calls while they sleep. Saw.City handles the intake — address, issue, urgency — so when you wake up, the lead is ready. No answering service, no app to babysit.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_retarget-overnight&utm_content=lie06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Start free,ACTIVE
4H_2026_electricians_awareness,LI-E7,11pm panel call. You answered. You win.,"It's 11pm. A homeowner's main panel just tripped. They call the first electrician on Google. [RING] Your AI answers: 'Hi, this is the answering service for [Your Company]. I can get your information over to our electrician right away.' You get the text. You call back first. You get the job.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_video-11pm&utm_content=lie07_hk07_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,See it live,ACTIVE
4H_2026_sawcity_awareness,RINSE-LI-RT-02,You’re one step from go-live,You’re close. Most operators finish setup in minutes and get to first handled call fast. Complete your setup now—no sales call required.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_retarget_one-step-go-live&utm_content=rinse_rtc02_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_awareness,RINSE-LI-RT-01,Finish setup. Start capturing jobs.,You already saw how Rinse.City works. The only thing left is turning missed calls into booked jobs. No demo. No waiting. Start self-serve and route your first call today.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_retarget_finish-setup&utm_content=rinse_rtc01_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,ROOTER-LI-R5,Fix the leak you can’t see,"You can’t fix what you can’t see. For most small trade operators, the biggest leak is invisible: missed and delayed callbacks. Rooter.City helps close that gap fast.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rooter_activation_invisible-leak&utm_content=rooter_lic05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,ROOTER-LI-R4,Speed-to-response = more revenue,"In local trades, speed wins. The first business to respond usually gets the job. Rooter.City helps small operators respond faster and close more opportunities from existing demand.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rooter_activation_speed-wins&utm_content=rooter_lic04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R6,Built for small trade operators,"You don’t need enterprise software to run a 1–10 person trade company better. You need a simple system that solves real bottlenecks. Rinse.City is built to reduce friction, not add it.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_no-enterprise-bloat&utm_content=rinse_lic06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R5,Fix the leak you can’t see,"You can’t fix what you can’t see. For most small trade operators, the biggest leak is invisible: missed and delayed callbacks. Rinse.City helps close that gap fast.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_invisible-leak&utm_content=rinse_lic05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R4,Speed-to-response = more revenue,"In local trades, speed wins. The first business to respond usually gets the job. Rinse.City helps small operators respond faster and close more opportunities from existing demand.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_speed-wins&utm_content=rinse_lic04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R3,Your first real ops system,Still running your business on cell phone + memory + sticky notes? That works… until it costs you jobs. Rinse.City is a practical first system for owner-operators who want more consistency without enterprise complexity.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_first-system&utm_content=rinse_lic03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R2,Turn phone chaos into booked work,Most 1–10 person trade shops don’t lose jobs because of bad work. They lose jobs because of slow follow-up and phone tag. Rinse.City helps you respond faster and convert more of the calls you already paid to get.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_phone-chaos&utm_content=rinse_lic02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,RINSE-LI-R1,Stop losing jobs to missed calls,"If you run a small trade business, every missed call is a real revenue leak. Rinse.City helps you capture more inbound calls and turn them into booked work without adding office overhead.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rinse_activation_missed-calls&utm_content=rinse_lic01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_awareness,MOW-LI-RT-02,You’re one step from go-live,You’re close. Most operators finish setup in minutes and get to first handled call fast. Complete your setup now—no sales call required.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_retarget_one-step-go-live&utm_content=mow_rtc02_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_awareness,MOW-LI-RT-01,Finish setup. Start capturing jobs.,You already saw how Mow.City works. The only thing left is turning missed calls into booked jobs. No demo. No waiting. Start self-serve and route your first call today.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_retarget_finish-setup&utm_content=mow_rtc01_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R6,Built for small trade operators,"You don’t need enterprise software to run a 1–10 person trade company better. You need a simple system that solves real bottlenecks. Mow.City is built to reduce friction, not add it.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_no-enterprise-bloat&utm_content=mow_lic06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R5,Fix the leak you can’t see,"You can’t fix what you can’t see. For most small trade operators, the biggest leak is invisible: missed and delayed callbacks. Mow.City helps close that gap fast.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_invisible-leak&utm_content=mow_lic05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R4,Speed-to-response = more revenue,"In local trades, speed wins. The first business to respond usually gets the job. Mow.City helps small operators respond faster and close more opportunities from existing demand.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_speed-wins&utm_content=mow_lic04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R3,Your first real ops system,Still running your business on cell phone + memory + sticky notes? That works… until it costs you jobs. Mow.City is a practical first system for owner-operators who want more consistency without enterprise complexity.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_first-system&utm_content=mow_lic03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_electricians_awareness,LI-E8,How much is one panel upgrade worth to you?,"Panel upgrade leads are worth $2,000-$8,000 each. How many are you losing to voicemail right now? Saw.City is an AI phone agent that answers every call, qualifies the lead, and sends you a summary. $79/mo. No contracts.",https://electricians.city/electricians?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_electricians_video-panel-value&utm_content=lie08_hk08_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/electricians-linkedin-ad.png,Hear it,ACTIVE
4H_2026_roofrepair_awareness,LI-RR1,Storm hit. Who answers the claim calls?,"After every storm, insurance-driven roof calls flood in. The contractor who answers first gets the claim — and the job. Saw.City answers your phone 24/7 so you're always first on scene. $79/mo.",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_storm-claims&utm_content=lirr01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,See it live,ACTIVE
4H_2026_roofrepair_awareness,LI-RR2,Leak call at 2am. You picked up.,"A leaking roof won't wait until morning. Homeowners call right after the rain stops — and they call multiple roofers. First to answer, first to get the tarp authorization. Saw.City never sleeps.",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_leak-2am&utm_content=lirr02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Start free,ACTIVE
4H_2026_roofrepair_awareness,LI-RR3,Adjuster jobs go to who answers first.,"Insurance adjusters move fast. Homeowners need documentation, tarping quotes, and contractor contact — NOW. If you miss that first call, someone else owns the claim. $79/mo keeps you first in line.",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_adjuster-first&utm_content=lirr03_hk03_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Hear it,ACTIVE
4H_2026_roofrepair_retarget,LI-RR4,Roofers near you stopped missing storm calls.,Roofing contractors using Saw.City say the biggest surprise is how many after-hours storm calls they were missing. Now those calls turn into jobs. $79/mo. Takes 10 minutes to set up.,https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_retarget-surprise&utm_content=lirr04_hk04_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Start now,ACTIVE
4H_2026_roofrepair_retarget,LI-RR5,One storm claim. 12 months paid for.,"You looked at Saw.City. Here's the math: one storm damage claim is worth $8,000–$25,000. If your AI answer costs $79/mo and captures even one extra job per quarter, you're way ahead. Start free.",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_retarget-math&utm_content=lirr05_hk05_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Get it now,ACTIVE
4H_2026_roofrepair_retarget,LI-RR6,Your competition is already answering.,"Other roofing contractors are answering your storm calls right now. Saw.City levels the playing field — actually, it tips it in your favor. Professional AI intake, instant lead texts, $79/mo. Ready?",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_retarget-competition&utm_content=lirr06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Start free,ACTIVE
4H_2026_alignment_awareness,AL-LI-AW-3,AI answers. You close the job.,What if every call to your alignment shop got answered — even at 11pm? alignment.city makes it real for $79/mo.,https://alignment.city/alignment?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_alignment_ai_answers&utm_content=li_aware_static_3&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-alignment-hero.png,Start free,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R2,Turn phone chaos into booked work,Most 1–10 person trade shops don’t lose jobs because of bad work. They lose jobs because of slow follow-up and phone tag. Mow.City helps you respond faster and convert more of the calls you already paid to get.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_phone-chaos&utm_content=mow_lic02_hk02_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Hear it live,ACTIVE
4H_2026_sawcity_retarget,MOW-LI-R1,Stop losing jobs to missed calls,"If you run a small trade business, every missed call is a real revenue leak. Mow.City helps you capture more inbound calls and turn them into booked work without adding office overhead.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_mow_activation_missed-calls&utm_content=mow_lic01_hk01_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_awareness,ROOTER-LI-RT-02,You’re one step from go-live,You’re close. Most operators finish setup in minutes and get to first handled call fast. Complete your setup now—no sales call required.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rooter_retarget_one-step-go-live&utm_content=rooter_rtc02_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_sawcity_awareness,ROOTER-LI-RT-01,Finish setup. Start capturing jobs.,You already saw how Rooter.City works. The only thing left is turning missed calls into booked jobs. No demo. No waiting. Start self-serve and route your first call today.,https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rooter_retarget_finish-setup&utm_content=rooter_rtc01_li_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Start now,ACTIVE
4H_2026_sawcity_retarget,ROOTER-LI-R6,Built for small trade operators,"You don’t need enterprise software to run a 1–10 person trade company better. You need a simple system that solves real bottlenecks. Rooter.City is built to reduce friction, not add it.",https://saw.city/li?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_rooter_activation_no-enterprise-bloat&utm_content=rooter_lic06_hk06_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/saw-linkedin-ad.png,Go live today,ACTIVE
4H_2026_roofrepair_awareness,LI-RR7,Hailstorm. 200 calls. Are you answering?,"[SCENE] Hail storm. 3am. 200 homes damaged. [REALITY] 200 homeowners are calling roofers right now. [QUESTION] How many calls is your voicemail taking? [SOLUTION] Saw.City answers instantly, captures the claim details, texts you the lead. $79/mo. First to the claim wins the job.",https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_video-hailstorm&utm_content=lirr07_hk07_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,See it live,ACTIVE
4H_2026_roofrepair_awareness,LI-RR8,The roof won't wait. Neither should you.,[HOOK] The roof won't wait. Neither will the homeowner. [PROBLEM] Every roofer in town is getting called after that storm. The ones who answer get the tarping authorization. [SOLUTION] Saw.City — AI that answers your phone 24/7 for $79/mo. [CTA] See it live at roofrepair.city.,https://roofrepair.city/roofrepair?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roofrepair_video-wont-wait&utm_content=lirr08_hk08_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/roofrepair-linkedin-ad.png,Hear it,ACTIVE
4H_2026_bodyshop_awareness,LI-AB1,Every missed call is a job gone,You're under a car. The phone rings. Nobody answers. That customer just called the shop down the street. Body shop owners lose $500–$2000 jobs every week from missed calls — not from lack of skill.,https://bodyshop.city/bodyshop?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_bodyshop_missed-call&utm_content=ab1_hk1_static1x1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/trade-heros/auto-body-hero.jpg,See it live,ACTIVE
4H_2026_pest_retarget,LI-PE5,You know the problem. Pest.City is how exterminators fix it.,"You're running routes solo. Calls come in while you're in a crawlspace or attic. You can't answer in a respirator.

Pest.City answers every call while you work — pest ID, urgency triage, inspection scheduling. All automatic.

$79/mo. Ready when you are.",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-engaged&utm_content=LI-PE5&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Try free — pest.city,ACTIVE
4H_2026_pest_retarget,LI-PE6,You started signing up for Pest.City. Finish before your next route.,"Your AI pest control employee is almost ready.

Finish setup in 3 minutes. Pest.City starts answering calls today — capturing bed bug calls, termite inquiries, and rodent jobs while you're on route or in a crawlspace.

pest.city — $79/mo. No contract.",https://pest.city/pest?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_retarget-signup&utm_content=LI-PE6&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pest-linkedin-ad.png,Finish signup — pest.city,ACTIVE
4H_2026_disaster_awareness,LI-D7,2am flood. One contractor answered.,"[SCENE] 2am. Water heater burst. Basement flooding. [CALL] Homeowner calls 3 restoration companies. [RESULT] Two voicemails. One AI answers instantly, captures all details, texts the contractor. They're on scene in 45 minutes. They own that claim. [CTA] Saw.City — $79/mo. disaster.city.",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_video-2am-flood&utm_content=lid07_hk07_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,See it live,ACTIVE
4H_2026_disaster_awareness,LI-D8,Mitigation window: 24 hours. You in?,"[HOOK] The mitigation window in water damage closes in 24-48 hours. [REALITY] If mold sets in, the claim triples — but the homeowner blames the contractor who was slow to respond. [SOLUTION] Saw.City answers instantly. You get there first. You control the outcome. $79/mo. [CTA] disaster.city",https://disaster.city/disaster?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_disaster_video-mitigation-window&utm_content=lid08_hk08_video&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/disaster-linkedin-ad.png,Hear it,ACTIVE
4H_2026_pipe_awareness,LI-P1,Every missed call costs you a job. Plumbers lose thousands when the phone goes to voicemail.,"You're in the crawlspace finishing a rough-in. Your phone rings. By the time you surface, they've already called the next plumber.

That job is gone.

Pipe.City answers every call while you work — 24/7, fully scripted for plumbing emergencies, scheduling, and estimates. No call center. No per-minute billing.

$79/mo. No contracts. Set up in 20 minutes.

Your AI employee for plumbing.",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_missed-calls&utm_content=LI-P1&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Start free at pipe.city,ACTIVE
4H_2026_pipe_awareness,LI-P2,$79/mo = one booked job. Pipe.City pays for itself the first week.,"What's your average plumbing job worth? A water heater swap? $600. An emergency burst pipe on a Saturday? $1,200+.

Pipe.City answers every call you miss — scheduling jobs, triaging emergencies, and keeping your calendar full while you're under a house finishing rough-in work.

One booked job covers 3+ months. The math isn't complicated.

$79/mo flat. Your AI employee for plumbing.",https://pipe.city/pipe?utm_source=linkedin&utm_medium=paid-social&utm_campaign=4h_2026-03_roi&utm_content=LI-P2&utm_term=owners_1-10,https://vzawlfitqnjhypnkguas.supabase.co/storage/v1/object/public/ad-creatives/pipe-linkedin-ad.png,Try free — pipe.city,ACTIVE
